Stand when hand is >= 7 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5259,496,4405,0,336,0,0.5259
Stand when hand is >= 7 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4076,460,5436,0,488,0,0.4076
Stand when hand is >= 7 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3783,474,5765,0,452,0,0.3783
Stand when hand is >= 7 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3484,462,6062,0,454,0,0.3484
Stand when hand is >= 7 & dealer face up card is = 10 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3092,471,6299,723,609,44,0.3092
Stand when hand is >= 7 & dealer face up card is = 11 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,2659,302,6850,2807,491,150,0.2659
Stand when hand is >= 8 & dealer face up card is = 2 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4486,466,5114,0,400,0,0.4486
Stand when hand is >= 8 & dealer face up card is = 3 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4638,495,4956,0,406,0,0.4638
Stand when hand is >= 8 & dealer face up card is = 4 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4918,451,4720,0,362,0,0.4918
Stand when hand is >= 8 & dealer face up card is = 5 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5096,448,4501,0,403,0,0.5096
Stand when hand is >= 8 & dealer face up card is = 6 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,5170,460,4471,0,359,0,0.517
Stand when hand is >= 8 & dealer face up card is = 7 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,4178,442,5332,0,490,0,0.4178
Stand when hand is >= 8 & dealer face up card is = 8 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3912,481,5586,0,502,0,0.3912
Stand when hand is >= 8 & dealer face up card is = 9 & Player's hand is hard.,Infinite deck on  every run a card is drawn with equal probability.,10000,3569,477,5975,0,456,0,0.3569
